,movie,year,imdb
386,Kaun Banega Crorepati?,(2000– ),8.5
387,Skipped Parts,(2000),6.4
388,Everybody's Famous!,(2000),7.0
389,Passion of Mind,(2000),5.6
390,The Color of Friendship,(2000 TV Movie),7.4
391,Cut,(I) (2000),4.2
392,No More School,(2000),6.4
393,The Heart of the World,(2000),7.7
394,Chasing Sleep,(2000),6.4
395,Come Sweet Death,(2000),7.7
396,The Guilty,(2000),6.2
397,Clifford the Big Red Dog,(2000–2003),6.7
398,Mom's Got a Date with a Vampire,(2000 TV Movie),6.0
399, Friends,(1994–2004),9.0
400,Girlfriends,(2000–2008),7.1
401,Crime + Punishment in Suburbia,(2000),5.9
402,U.S. Seals,(2000 Video),4.9
403,Aberdeen,(2000),7.2
404,Urbania,(2000),7.0
405,Looking for Alibrandi,(2000),7.1
406,3 Strikes,(2000),4.5
407, The Sopranos,(1999–2007),9.3
408,Pokémon: Mewtwo Returns,(2000 Video),6.5
409,Godzilla vs. Megaguirus,(2000),6.3
410,Gormenghast,(2000– ),7.5
411,The Invisible Man,(2000–2002),7.6
412, Friends,(1994–2004),8.9
413,Rejseholdet,(2000–2004),8.2
414,Leak 2000,(2000),7.0
415,Commissar Shakespeare,(2000),5.8
416, The X-Files,(1993– ),8.5
417, Buffy the Vampire Slayer,(1996–2003),9.0
418,April Captains,(2000),7.1
419,Sordid Lives,(2000),6.8
420,O Fantasma,(2000),5.7
421,Deus Ex,(2000 Video Game),9.3
422,Half-Life: Counter-Strike,(2000 Video Game),8.5
423,Universets engle,(2000),7.7
424,The Smokers,(2000),2.8
425,Seventeen Again,(2000 TV Movie),6.2
426,Ju-on: The Curse 2,(2000),6.2
427,Big Brother,(III) (2000– ),4.3
428,Dulhan Hum Le Jayenge,(2000),5.0
429,Jack Frost 2: Revenge of the Mutant Killer Snowman,(2000 Video),3.8
430,Out Live,(2000),6.2
431,Tears of the Black Tiger,(2000),7.0
432,Loners,(2000),7.7
433, The Wonderful World of Disney,(1995–2005),6.2
434,Spiders,(2000),3.9
435,Up at the Villa,(2000),6.0
436,Chal Mere Bhai,(2000),4.7
437,The Land Before Time VII: The Stone of Cold Fire,(2000 Video),6.0
438,Bruce Lee: A Warrior's Journey,(2000 Video),8.1
439,Vengo,(2000),7.2
440, Friends,(1994–2004),7.5
441, Friends,(1994–2004),8.6
442,Jack of All Trades,(2000),7.9
443, Friends,(1994–2004),8.6
444, Friends,(1994–2004),8.8
445, The Sopranos,(1999–2007),9.2
446,Command & Conquer: Red Alert 2,(2000 Video Game),8.6
447, Friends,(1994–2004),8.6
448,The Legend of Zelda: Majora's Mask,(2000 Video Game),9.1
449, Friends,(1994–2004),8.6
450, Friends,(1994–2004),8.6
451,What's with Andy?,(2000– ),7.7
452,Air Bud 3,(2000 Video),4.7
453, Friends,(1994–2004),8.4
454, Friends,(1994–2004),8.6
455, The Sopranos,(1999–2007),8.7
456,Liam,(2000),7.0
457,Offside,(2000),7.4
458,What's Cooking?,(2000),7.1
459, Friends,(1994–2004),8.3
460,Ali Zaoua: Prince of the Streets,(2000),7.4
461, The X-Files,(1993– ),7.2
462,Phantom of the Megaplex,(2000 TV Movie),6.6
463,CKY2K,(2000 Video),7.4
464, The X-Files,(1993– ),6.5
465, Friends,(1994–2004),8.4
466, The Sopranos,(1999–2007),8.5
467, The Sopranos,(1999–2007),8.7
468, Friends,(1994–2004),8.2
469, South Park,(1997– ),9.0
470,Son of the Beach,(2000–2002),7.0
471,Buzz Lightyear of Star Command,(2000–2018),6.7
472, The X-Files,(1993– ),8.4
473,Blackboards,(2000),7.0
474, Friends,(1994–2004),8.4
475, Friends,(1994–2004),8.5
476, The X-Files,(1993– ),8.6
477,Lockdown,(2000),6.2
478,Deep in the Woods,(2000),4.2
479,Monarch of the Glen,(2000–2005),7.7
480,The Audrey Hepburn Story,(2000 TV Movie),5.9
481,Resident Evil: Code: Veronica,(2000 Video Game),8.3
482,The Convent,(2000),5.1
483, Dark Angel,(2000–2002),7.0
484, Buffy the Vampire Slayer,(1996–2003),9.3
485, Friends,(1994–2004),8.1
486, Friends,(1994–2004),8.2
487,Tokyo Raiders,(2000),5.9
488, Friends,(1994–2004),8.4
489, The X-Files,(1993– ),7.6
490, Friends,(1994–2004),8.2
491, Friends,(1994–2004),8.2
492, The Sopranos,(1999–2007),8.9
493, Friends,(1994–2004),8.2
494, The Sopranos,(1999–2007),8.4
495, Friends,(1994–2004),8.2
496, The Sopranos,(1999–2007),8.6
497,Dark Prince: The True Story of Dracula,(2000 TV Movie),6.3
498,The City of Lost Souls,(2000),6.4
499,Kandukondain Kandukondain,(2000),7.6
500,Ringenes herre: Eventyret om ringen,(2001),8.8
501,A Beautiful Mind,(2001),8.2
502,"Monsters, Inc.",(2001),8.1
503,Donnie Darko,(2001),8.1
504,Amélie,(2001),8.3
505,Harry Potter and the Sorcerer's Stone,(2001),7.6
506,Shrek,(2001),7.9
507,Spirited Away,(2001),8.6
508,Ocean's Eleven,(2001),7.8
509,Training Day,(2001),7.7
510,Black Hawk Down,(2001),7.7
511,The Fast and the Furious,(2001),6.8
512,The Others,(2001),7.6
513,Band of Brothers,(2001),9.5
514,Pearl Harbor,(2001),6.1
515,Mulholland Drive,(2001),8.0
516,The Mummy Returns,(2001),6.3
517,A.I. Artificial Intelligence,(2001),7.1
518,Jurassic Park III,(2001),5.9
519,Moulin Rouge!,(2001),7.6
