83,Open Water,https://image.tmdb.org/t/p/original/hua2eluUhiLvKqwHFPV2aTiY8pp.jpg,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...","['Drama', 'Thriller', 'Horror']",130000,54667954,29-12-2003,79,Scream all you want.,Released,https://www.imdb.com/title/tt0374102,['Plunge Pictures LLC'],5.4,555,https://image.tmdb.org/t/p/original/50ZS8RwRDwioZtu2KAS6KfzEbDO.jpg
98,Gladiator,https://image.tmdb.org/t/p/original/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.","['Action', 'Drama', 'Adventure']",103000000,457640427,01-05-2000,155,A Hero Will Rise.,Released,https://www.imdb.com/title/tt0172495,"['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz', 'DreamWorks']",8.1,9286,https://image.tmdb.org/t/p/original/5vZw7ltCKI0JiOYTtRxaIC3DX0e.jpg
107,Snatch,https://image.tmdb.org/t/p/original/on9JlbGEccLsYkjeEph2Whm1DIp.jpg,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.","['Thriller', 'Crime']",10000000,83557872,01-09-2000,103,Stealin' Stones and Breakin' Bones.,Released,https://www.imdb.com/title/tt0208092,"['Screen Gems', 'SKA Films', 'Columbia Pictures']",7.8,4552,https://image.tmdb.org/t/p/original/lE1srrhvN9LHmJrFIrBkdo6NqSh.jpg
116,Match Point,https://image.tmdb.org/t/p/original/zuSFZEbSs7hj9lfeu2k7a4bPxdE.jpg,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.","['Drama', 'Thriller', 'Crime', 'Romance']",15000000,85306374,26-10-2005,124,Passion Temptation Obsession,Released,https://www.imdb.com/title/tt0416320,['DreamWorks'],7.3,1981,https://image.tmdb.org/t/p/original/1HEdbjJ20vXn8nW1LwPMc5lY63U.jpg
118,Charlie and the Chocolate Factory,https://image.tmdb.org/t/p/original/dvHl1dYvaZRhj9Gk0ITcCHr4DIJ.jpg,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","['Adventure', 'Comedy', 'Family', 'Fantasy']",150000000,474968763,13-07-2005,115,Willy Wonka is semi-sweet and nuts.,Released,https://www.imdb.com/title/tt0367594,"['Village Roadshow Pictures', 'The Zanuck Company', 'Tim Burton Productions', 'Theobald Film Productions', 'Warner Bros. Pictures', 'Plan B Entertainment']",6.9,7835,https://image.tmdb.org/t/p/original/t7TwFwRrx3Re52651dy52ObXBBh.jpg
120,The Lord of the Rings: The Fellowship of the Ring,https://image.tmdb.org/t/p/original/56zTpe2xvaA4alU51sRWPoKPYZy.jpg,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","['Adventure', 'Fantasy', 'Action']",93000000,871368364,18-12-2001,178,One ring to rule them all,Released,https://www.imdb.com/title/tt0120737,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",8.3,13919,https://image.tmdb.org/t/p/original/pIUvQ9Ed35wlWhY2oU6OmwEsmzG.jpg
121,The Lord of the Rings: The Two Towers,https://image.tmdb.org/t/p/original/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","['Adventure', 'Fantasy', 'Action']",79000000,926287400,18-12-2002,179,A New Power Is Rising.,Released,https://www.imdb.com/title/tt0167261,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",8.2,12008,https://image.tmdb.org/t/p/original/dG4BmM32XJmKiwopLDQmvXEhuHB.jpg
122,The Lord of the Rings: The Return of the King,https://image.tmdb.org/t/p/original/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.","['Adventure', 'Fantasy', 'Action']",94000000,1118888979,01-12-2003,201,The eye of the enemy is moving.,Released,https://www.imdb.com/title/tt0167260,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",8.4,12669,https://image.tmdb.org/t/p/original/8BPZO0Bf8TeAy8znF43z8soK3ys.jpg
134,"O Brother, Where Art Thou?",https://image.tmdb.org/t/p/original/eIqSzq6j3yuxNmifiUOh6iTpG9N.jpg,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.","['Action', 'Adventure', 'Comedy']",26000000,71868327,30-08-2000,106,They have a plan...but not a clue.,Released,https://www.imdb.com/title/tt0190590,"['Mike Zoss Productions', 'Universal Pictures', 'Touchstone Pictures', 'Working Title Films', 'StudioCanal']",7.3,1892,https://image.tmdb.org/t/p/original/s4SmtlX13p1E2laSQqmVZQ8sYbe.jpg
141,Donnie Darko,https://image.tmdb.org/t/p/original/nmb4QhCRmdfNP6rgb81yUFgI83l.jpg,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","['Fantasy', 'Drama', 'Mystery']",6000000,1270522,18-01-2001,114,You can never go too far,Released,https://www.imdb.com/title/tt0246578,"['Pandora Cinema', 'Adam Fields Productions', '20th Century Fox', 'Flower Films']",7.8,6442,https://image.tmdb.org/t/p/original/ld7huGVoyXAY6EsdAUeLh9QxAl6.jpg
